customer_id,age,gender,senior_citizen,has_partner,has_dependents,tenure_months,contract_type,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,payment_method,monthly_charges,total_charges,data_usage_gb,num_tech_tickets,num_admin_tickets,satisfaction_score,churn
CUST000021,62,Female,1,1,0,3,One Year,1,No,DSL,No,Yes,No,No,No,No,1,Credit Card,47.73,180.48,29.59,0,0,3.9,0
CUST000022,38,Female,0,0,0,22,Month-to-Month,1,Yes,DSL,No,No,No,No,No,No,0,Bank Transfer,52.18,1162.8,3.6,2,1,3.4,0
CUST000023,42,Female,0,0,0,72,Two Year,0,No Phone,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,0,Electronic Check,18.0,1296.0,0.0,0,1,3.0,0
CUST000024,22,Male,0,1,1,48,Two Year,1,No,Fiber Optic,No,Yes,No,Yes,Yes,Yes,0,Bank Transfer,109.63,5254.09,41.16,0,0,,0
CUST000025,34,Male,0,0,0,5,One Year,1,No,DSL,No,No,No,Yes,No,Yes,1,Electronic Check,59.71,301.36,1.53,0,2,3.4,0
CUST000026,43,Male,0,1,0,26,Month-to-Month,1,Yes,DSL,No,Yes,No,No,No,Yes,1,Bank Transfer,63.1,1652.19,35.41,3,2,3.7,1
CUST000027,25,Female,0,0,0,47,One Year,1,No,Fiber Optic,No,No,No,Yes,No,No,1,Bank Transfer,69.67,3268.47,11.86,3,1,2.4,0
CUST000028,47,Male,0,1,0,4,Month-to-Month,1,Yes,DSL,No,No,No,No,No,No,1,Mailed Check,52.09,209.36,8.3,3,0,4.7,0
CUST000029,33,Male,0,0,1,2,Month-to-Month,1,No,Fiber Optic,No,Yes,Yes,Yes,No,No,1,Mailed Check,77.56,168.96,8.61,1,0,4.6,0
CUST000030,37,Female,0,0,0,66,Two Year,1,No,DSL,No,No,No,Yes,No,Yes,1,Electronic Check,47.63,3112.61,62.43,1,1,2.9,0
CUST000031,33,Female,0,0,1,8,One Year,1,Yes,Fiber Optic,Yes,No,No,No,No,No,0,Bank Transfer,87.78,726.44,82.33,1,1,2.3,0
CUST000032,67,Female,1,0,0,20,Two Year,1,Yes,Fiber Optic,Yes,Yes,No,No,Yes,Yes,0,Credit Card,89.39,1766.37,11.63,1,1,3.0,0
CUST000033,41,Female,0,1,1,7,One Year,1,No,Fiber Optic,No,No,No,Yes,No,Yes,1,Bank Transfer,87.63,602.66,78.56,2,3,3.6,0
CUST000034,27,Male,0,1,1,1,Month-to-Month,1,Yes,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,1,Mailed Check,35.68,35.68,0.0,2,2,4.2,0
CUST000035,53,Female,0,1,1,21,Month-to-Month,1,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,No,0,Electronic Check,107.74,2288.81,15.08,0,0,2.4,0
CUST000036,24,Female,0,0,1,17,Two Year,1,No,Fiber Optic,No,Yes,No,No,Yes,Yes,1,Mailed Check,93.35,,38.0,0,0,3.8,0
CUST000037,44,Female,0,0,0,38,Month-to-Month,1,No,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,0,Electronic Check,21.98,820.68,0.0,0,2,2.0,0
CUST000038,18,Female,0,0,0,58,Month-to-Month,1,No,Fiber Optic,No,Yes,No,No,Yes,No,1,Bank Transfer,75.95,4406.18,90.04,2,1,4.2,1
CUST000039,23,Female,0,0,0,4,Month-to-Month,1,No,DSL,Yes,Yes,Yes,No,Yes,Yes,0,Bank Transfer,74.32,322.83,10.16,0,0,1.7,0
CUST000040,44,Female,0,1,0,5,Month-to-Month,1,Yes,DSL,No,Yes,No,No,Yes,No,0,Credit Card,68.54,387.11,12.44,0,0,3.7,1
CUST000041,52,Male,0,0,0,72,Month-to-Month,1,No,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,1,Bank Transfer,33.93,2439.39,0.0,3,1,1.8,0
CUST000042,44,Male,0,1,0,16,One Year,0,No Phone,DSL,No,No,Yes,No,Yes,Yes,1,Electronic Check,53.72,864.72,21.14,0,1,,0
CUST000043,40,Male,0,0,0,72,Two Year,1,No,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,0,Credit Card,29.64,2114.34,0.0,0,0,5.0,0
CUST000044,37,Male,0,1,0,12,One Year,1,No,Fiber Optic,No,No,No,No,Yes,Yes,1,Electronic Check,88.67,1091.81,13.71,0,0,3.2,0
CUST000045,21,Female,0,1,1,12,Month-to-Month,1,Yes,Fiber Optic,No,Yes,No,No,No,No,1,Electronic Check,83.13,1011.12,37.99,1,0,3.2,0
CUST000046,31,Female,0,0,0,36,Month-to-Month,1,No,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,1,Bank Transfer,35.14,1314.86,0.0,3,0,3.3,0
CUST000047,35,Female,0,1,1,3,Month-to-Month,1,No,Fiber Optic,No,Yes,Yes,Yes,No,Yes,0,Electronic Check,93.44,267.21,76.12,1,0,2.9,0
CUST000048,56,Male,0,1,1,15,Month-to-Month,1,No,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,1,Credit Card,32.69,472.89,0.0,0,0,2.6,0
CUST000049,46,Female,0,1,0,14,One Year,1,No,Fiber Optic,No,No,Yes,No,Yes,Yes,1,Credit Card,88.7,1217.1,4.57,1,0,4.0,0
CUST000050,18,Female,0,1,1,1,Month-to-Month,1,Yes,Fiber Optic,No,No,No,Yes,Yes,No,0,Mailed Check,89.05,89.05,54.46,2,0,2.8,1
CUST000051,46,Female,0,1,1,11,One Year,1,Yes,DSL,No,No,No,Yes,No,No,0,Electronic Check,57.18,623.15,1.31,0,1,4.1,0
CUST000052,36,Female,0,1,0,15,One Year,1,Yes,DSL,No,No,No,Yes,No,No,0,Bank Transfer,51.86,818.1,2.98,2,1,3.4,0
CUST000053,32,Male,0,0,0,1,Two Year,1,Yes,Fiber Optic,No,Yes,No,No,Yes,No,1,Credit Card,88.61,90.2,0.5,2,3,4.0,0
CUST000054,50,Female,0,0,0,1,Month-to-Month,1,Yes,Fiber Optic,No,Yes,No,No,No,No,1,Credit Card,73.46,73.46,5.68,0,1,2.7,1
CUST000055,56,Female,0,0,0,27,Month-to-Month,1,No,Fiber Optic,No,No,No,Yes,Yes,No,1,Electronic Check,81.36,2155.51,50.45,1,0,4.1,1
CUST000056,55,Female,0,0,0,6,Month-to-Month,1,No,DSL,No,No,No,No,No,No,0,Credit Card,38.12,215.67,5.3,1,1,2.7,1
CUST000057,30,Male,0,1,0,13,Two Year,1,No,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,0,Mailed Check,29.53,384.27,0.0,2,0,5.0,0
CUST000058,37,Female,0,0,0,2,Month-to-Month,0,No Phone,Fiber Optic,No,No,Yes,No,Yes,Yes,0,Electronic Check,83.07,161.82,29.02,1,1,5.0,1
CUST000059,46,Female,0,1,1,3,Two Year,0,No Phone,DSL,Yes,No,No,No,No,Yes,0,Mailed Check,47.04,117.54,4.48,1,1,3.7,0
CUST000060,55,Female,0,0,0,5,Month-to-Month,0,No Phone,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,1,Bank Transfer,23.2,98.24,0.0,1,1,3.0,1
CUST000061,35,Female,0,0,0,1,Month-to-Month,1,Yes,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,0,Electronic Check,35.05,35.77,0.0,1,0,3.0,1
CUST000062,39,Female,0,1,1,43,One Year,1,Yes,Fiber Optic,Yes,No,No,No,Yes,No,1,Bank Transfer,82.86,3533.97,29.32,1,1,3.3,1
CUST000063,26,Female,0,0,0,70,Month-to-Month,1,Yes,Fiber Optic,Yes,No,No,No,No,No,1,Bank Transfer,85.88,6019.4,31.8,0,0,3.0,0
CUST000064,25,Female,0,1,0,22,Two Year,1,Yes,Fiber Optic,No,No,No,Yes,No,Yes,0,Credit Card,94.94,2118.68,23.91,0,1,2.6,1
CUST000065,53,Male,0,1,0,50,Month-to-Month,0,No Phone,Fiber Optic,Yes,No,No,No,No,No,1,Bank Transfer,59.42,3017.66,38.9,1,1,2.5,0
CUST000066,60,Male,1,1,1,4,One Year,1,No,Fiber Optic,No,No,No,Yes,No,No,0,Electronic Check,73.02,304.06,0.5,0,3,5.0,0
CUST000067,40,Female,0,1,1,17,Month-to-Month,1,No,Fiber Optic,No,No,No,No,No,No,1,Electronic Check,65.22,1088.99,13.56,2,1,3.1,0
CUST000068,56,Female,0,1,1,4,Month-to-Month,1,Yes,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,1,Bank Transfer,41.63,177.25,0.0,0,2,4.4,0
CUST000069,47,Male,0,1,1,72,One Year,1,Yes,DSL,No,No,No,Yes,No,No,0,Electronic Check,66.74,4777.86,15.58,1,0,2.8,0
CUST000070,32,Male,0,0,0,1,One Year,1,Yes,DSL,No,No,No,No,Yes,No,1,Credit Card,58.41,58.86,26.13,4,3,4.9,0
CUST000071,47,Male,0,1,1,17,Two Year,1,No,Fiber Optic,Yes,No,No,No,No,No,0,Electronic Check,77.51,1331.37,30.02,1,1,3.4,0
CUST000072,63,Male,1,1,0,3,Month-to-Month,1,No,Fiber Optic,No,No,Yes,No,No,No,1,Electronic Check,69.07,181.81,10.96,2,2,4.0,1
CUST000073,41,Female,0,1,0,2,Two Year,1,Yes,Fiber Optic,No,No,No,No,No,No,1,Electronic Check,82.69,137.74,33.04,1,1,2.4,0
CUST000074,63,Female,1,0,0,39,Month-to-Month,1,Yes,DSL,No,No,Yes,Yes,Yes,Yes,1,Electronic Check,66.99,2625.13,40.59,0,0,3.3,0
CUST000075,18,Female,0,1,1,2,Month-to-Month,1,No,DSL,No,Yes,Yes,Yes,Yes,No,1,Bank Transfer,86.23,143.08,9.81,0,2,1.4,1
CUST000076,53,Female,0,1,0,1,Month-to-Month,1,No,Fiber Optic,No,Yes,No,Yes,Yes,Yes,1,Bank Transfer,93.75,93.75,83.79,1,1,3.8,0
CUST000077,43,Female,0,0,0,72,Month-to-Month,1,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,1,Bank Transfer,74.0,5328.0,4.79,0,0,3.4,0
CUST000078,37,Male,0,1,0,6,Month-to-Month,1,No,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,0,Bank Transfer,34.84,184.07,0.0,1,0,3.3,0
CUST000079,43,Male,0,1,1,55,Month-to-Month,1,Yes,Fiber Optic,Yes,No,No,Yes,No,No,1,Electronic Check,89.34,4904.21,5.95,1,0,1.9,0
CUST000080,18,Male,0,1,0,72,Month-to-Month,1,No,Fiber Optic,No,No,No,No,Yes,Yes,0,Electronic Check,69.09,4974.4800000000005,1.27,2,3,2.8,1
CUST000081,38,Male,0,0,0,41,Two Year,1,Yes,Fiber Optic,Yes,No,No,No,Yes,No,0,Electronic Check,91.37,3742.42,0.5,1,1,2.0,0
CUST000082,46,Male,0,0,0,3,One Year,1,Yes,DSL,No,No,No,Yes,Yes,No,1,Mailed Check,60.71,168.17,17.94,2,0,5.0,0
CUST000083,62,Female,1,1,0,5,Month-to-Month,1,No,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,0,Bank Transfer,33.73,175.72,0.0,2,0,3.4,0
CUST000084,34,Male,0,1,1,5,Month-to-Month,1,No,Fiber Optic,No,No,No,No,No,No,0,Bank Transfer,65.39,329.95,21.06,3,1,3.2,1
CUST000085,30,Male,0,0,0,31,Two Year,1,Yes,DSL,Yes,No,No,Yes,Yes,No,1,Mailed Check,82.43,2589.45,29.34,1,0,3.9,0
CUST000086,34,Female,0,0,0,5,One Year,1,No,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,0,Electronic Check,31.65,145.5,0.0,0,2,3.8,0
CUST000087,54,Female,0,0,1,1,One Year,1,Yes,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,0,Mailed Check,45.42,45.42,0.0,1,1,3.2,0
CUST000088,46,Female,0,1,1,18,Two Year,1,No,DSL,Yes,Yes,Yes,Yes,No,No,1,Bank Transfer,62.83,1125.63,79.39,2,0,2.7,0
CUST000089,34,Female,0,1,0,26,One Year,0,No Phone,Fiber Optic,No,No,No,Yes,No,No,0,Electronic Check,58.26,1550.29,3.76,6,0,,1
CUST000090,49,Female,0,1,0,18,Month-to-Month,1,No,Fiber Optic,No,No,No,Yes,No,No,1,Mailed Check,73.42,1323.83,30.07,1,2,4.1,0
CUST000091,43,Male,0,1,1,20,Month-to-Month,1,Yes,DSL,No,No,Yes,No,Yes,Yes,1,Bank Transfer,70.8,1422.68,7.81,0,3,3.3,1
CUST000092,55,Female,0,1,0,18,Month-to-Month,1,Yes,Fiber Optic,No,No,No,No,No,Yes,0,Mailed Check,95.87,1771.61,11.73,3,0,2.8,0
CUST000093,32,Female,0,1,1,9,Month-to-Month,1,Yes,Fiber Optic,Yes,Yes,No,No,No,Yes,1,Credit Card,104.27,911.17,10.4,4,1,2.9,1
CUST000094,37,Male,0,0,0,72,Month-to-Month,1,No,Fiber Optic,No,No,Yes,No,No,No,1,Credit Card,73.95,5324.400000000001,3.81,1,1,2.7,0
CUST000095,36,Male,0,1,0,54,Month-to-Month,1,Yes,Fiber Optic,Yes,No,No,No,No,Yes,1,Credit Card,80.47,4337.39,52.47,2,1,3.4,0
CUST000096,21,Female,0,0,0,11,One Year,1,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,1,Bank Transfer,105.7,1132.7,36.68,2,2,,1
CUST000097,46,Female,0,1,1,1,Month-to-Month,1,No,DSL,No,Yes,No,No,Yes,No,1,Mailed Check,53.11,53.11,16.47,2,2,1.5,1
CUST000098,45,Male,0,0,0,58,One Year,1,No,DSL,Yes,No,No,No,No,Yes,0,Credit Card,57.88,3340.45,10.22,1,0,2.9,0
CUST000099,42,Female,0,0,0,40,Month-to-Month,1,No,DSL,No,No,No,Yes,Yes,Yes,1,Bank Transfer,67.44,2686.49,6.47,2,0,3.7,0
CUST000100,38,Female,0,0,1,2,Month-to-Month,1,No,Fiber Optic,Yes,No,No,Yes,No,No,1,Electronic Check,78.68,179.79,98.63,1,1,3.3,1
CUST000101,22,Female,0,1,1,35,Two Year,1,No,Fiber Optic,No,No,Yes,Yes,No,Yes,1,Electronic Check,86.8,3042.54,8.5,2,0,1.8,0
CUST000102,36,Female,0,0,1,18,Month-to-Month,1,Yes,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,1,Electronic Check,45.86,809.69,0.0,1,0,3.3,0
CUST000103,37,Female,0,0,0,4,One Year,1,Yes,DSL,No,Yes,No,No,Yes,No,1,Mailed Check,63.4,241.03,7.71,0,0,,0
CUST000104,30,Male,0,1,1,38,One Year,1,Yes,DSL,No,Yes,Yes,No,Yes,Yes,1,Mailed Check,79.7,3019.64,121.48,0,2,3.4,0
CUST000105,39,Male,0,1,1,13,Month-to-Month,0,No Phone,Fiber Optic,Yes,Yes,No,No,No,Yes,0,Mailed Check,65.17,850.15,12.52,0,1,,0
CUST000106,47,Female,0,0,0,72,Month-to-Month,1,Yes,Fiber Optic,No,No,No,No,No,No,1,Bank Transfer,61.61,4435.92,5.38,2,2,3.7,0
CUST000107,68,Female,1,0,0,1,Month-to-Month,1,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,0,Electronic Check,84.46,84.46,33.42,1,0,4.5,0
CUST000108,44,Male,0,0,0,72,Month-to-Month,1,No,Fiber Optic,No,Yes,No,No,No,No,0,Mailed Check,70.62,5084.64,37.45,1,0,1.5,0
CUST000109,45,Male,0,1,0,2,Month-to-Month,1,No,Fiber Optic,No,No,Yes,No,No,No,1,Electronic Check,82.0,129.87,65.3,3,1,1.0,1
CUST000110,40,Male,0,1,1,1,One Year,0,No Phone,Fiber Optic,No,No,Yes,No,No,Yes,1,Mailed Check,87.62,98.33,24.17,2,1,3.4,0
CUST000111,18,Female,0,0,0,26,One Year,1,No,Fiber Optic,Yes,Yes,No,Yes,No,No,1,Mailed Check,85.71,2253.68,3.86,1,0,2.2,0
CUST000112,41,Male,0,1,0,28,Month-to-Month,1,Yes,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,0,Credit Card,44.2,1279.4,0.0,0,2,3.0,1
CUST000113,42,Female,0,0,0,6,Two Year,1,No,DSL,No,No,No,No,Yes,No,1,Mailed Check,64.34,399.98,10.72,0,0,3.7,0
CUST000114,76,Female,1,0,0,62,Two Year,1,Yes,Fiber Optic,No,No,No,No,Yes,No,1,Electronic Check,78.43,4868.12,46.1,1,0,2.8,0
CUST000115,39,Female,0,1,1,48,Month-to-Month,1,Yes,DSL,Yes,No,No,No,Yes,Yes,1,Mailed Check,77.95,3722.63,6.83,4,1,1.8,0
CUST000116,46,Female,0,0,0,9,One Year,1,No,Fiber Optic,Yes,Yes,Yes,Yes,No,No,0,Electronic Check,88.67,824.45,99.26,3,3,2.4,1
CUST000117,41,Female,0,1,0,17,Month-to-Month,0,No Phone,DSL,Yes,Yes,No,No,Yes,Yes,0,Mailed Check,72.8,1219.15,9.93,2,1,2.9,0
CUST000118,25,Male,0,1,1,45,One Year,1,Yes,DSL,Yes,No,No,No,No,Yes,1,Electronic Check,64.27,2949.23,26.26,3,0,1.7,0
CUST000119,57,Male,0,0,0,53,Month-to-Month,1,No,Fiber Optic,No,No,No,Yes,No,Yes,0,Mailed Check,80.92,4278.98,50.89,0,1,1.0,0
CUST000120,52,Male,0,1,0,47,One Year,1,No,Fiber Optic,Yes,No,Yes,No,Yes,No,1,Electronic Check,89.59,4230.23,59.13,2,0,3.4,0
CUST000121,53,Male,0,1,1,9,One Year,1,No,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,0,Bank Transfer,25.54,193.28,0.0,1,0,4.6,0
CUST000122,29,Female,0,1,0,43,Month-to-Month,1,Yes,DSL,Yes,No,No,No,Yes,No,1,Electronic Check,62.81,2727.72,31.6,1,0,3.9,0
CUST000123,61,Male,1,0,0,30,Month-to-Month,1,No,Fiber Optic,Yes,Yes,No,Yes,Yes,No,0,Credit Card,100.29,3011.24,53.82,2,0,3.8,1
CUST000124,22,Male,0,0,1,22,Month-to-Month,1,No,Fiber Optic,Yes,Yes,No,Yes,Yes,No,1,Credit Card,97.11,2126.04,17.65,1,0,2.4,1
CUST000125,50,Male,0,0,1,72,Month-to-Month,1,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,0,Credit Card,107.49,7739.28,16.28,1,1,2.5,0
CUST000126,72,Male,1,1,0,27,One Year,1,Yes,DSL,No,Yes,No,No,Yes,Yes,1,Bank Transfer,73.0,1996.1,43.79,0,1,2.8,0
CUST000127,28,Male,0,0,0,60,Two Year,1,Yes,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,1,Bank Transfer,33.43,2014.25,0.0,0,1,3.1,0
CUST000128,34,Male,0,0,0,41,Month-to-Month,1,Yes,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,0,Electronic Check,32.79,1299.03,0.0,1,0,3.9,0
CUST000129,43,Female,0,1,0,1,One Year,1,No,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,0,Electronic Check,29.35,29.35,0.0,1,1,3.8,0
CUST000130,34,Female,0,0,0,9,One Year,1,No,Fiber Optic,Yes,Yes,No,No,Yes,No,0,Credit Card,95.75,887.45,15.09,0,1,3.8,0
CUST000131,20,Male,0,0,0,28,Two Year,1,No,Fiber Optic,No,Yes,No,No,Yes,No,1,Electronic Check,79.83,2242.54,105.38,1,4,4.7,0
CUST000132,42,Female,0,1,0,17,Two Year,1,No,Fiber Optic,No,No,No,Yes,Yes,Yes,0,Credit Card,83.49,1419.93,26.63,1,2,3.8,0
CUST000133,27,Female,0,1,0,72,Two Year,1,No,Fiber Optic,Yes,Yes,No,No,Yes,No,1,Bank Transfer,90.61,6523.92,14.0,1,2,3.9,0
CUST000134,48,Female,0,0,0,26,Two Year,1,Yes,DSL,No,No,No,Yes,Yes,No,0,Electronic Check,56.98,1460.52,17.26,3,2,3.6,0
CUST000135,29,Female,0,0,0,72,Month-to-Month,1,No,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,1,Credit Card,36.06,2596.32,0.0,1,0,2.9,0
CUST000136,63,Female,1,0,0,6,Month-to-Month,0,No Phone,Fiber Optic,No,No,Yes,No,Yes,No,1,Electronic Check,63.69,373.79,69.97,2,2,5.0,1
CUST000137,31,Male,0,0,0,68,One Year,1,Yes,DSL,Yes,No,No,No,No,No,1,Electronic Check,59.99,4078.47,37.93,0,0,2.5,0
CUST000138,37,Female,0,1,0,23,Two Year,1,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,1,Mailed Check,107.28,2462.86,5.96,1,2,4.9,0
CUST000139,53,Female,0,1,0,7,Month-to-Month,1,No,Fiber Optic,No,Yes,No,No,No,No,1,Credit Card,60.98,404.34,25.68,1,1,4.1,0
CUST000140,24,Male,0,1,0,14,Month-to-Month,1,No,DSL,Yes,Yes,Yes,No,No,No,1,Bank Transfer,73.29,1052.37,11.69,0,1,4.5,1
CUST000141,45,Female,0,1,1,72,Month-to-Month,1,Yes,Fiber Optic,Yes,No,No,No,No,No,0,Electronic Check,88.12,6344.64,8.01,1,3,2.9,0
CUST000142,60,Female,1,1,0,72,Two Year,1,Yes,DSL,Yes,No,Yes,No,Yes,No,1,Mailed Check,75.9,5462.41,1.78,3,1,4.1,0
CUST000143,19,Male,0,1,1,1,One Year,1,No,DSL,Yes,No,No,No,No,Yes,1,Bank Transfer,52.26,52.26,13.14,2,0,4.1,0
CUST000144,44,Female,0,1,0,11,One Year,1,Yes,DSL,No,No,No,Yes,No,No,0,Electronic Check,52.5,547.73,20.3,1,1,2.9,0
CUST000145,45,Male,0,1,1,68,Month-to-Month,1,Yes,DSL,Yes,Yes,No,No,No,Yes,0,Electronic Check,67.78,4607.31,2.75,2,1,3.3,0
CUST000146,52,Female,0,1,0,1,Month-to-Month,1,No,DSL,No,No,Yes,No,Yes,No,1,Bank Transfer,63.19,63.19,24.22,2,1,4.6,0
CUST000147,24,Female,0,0,0,72,Month-to-Month,1,No,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,0,Electronic Check,21.21,1527.1200000000001,0.0,0,2,4.9,0
CUST000148,23,Male,0,0,0,14,Month-to-Month,1,No,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,0,Electronic Check,24.82,336.47,0.0,0,0,4.7,0
CUST000149,49,Female,0,1,0,3,Two Year,1,Yes,Fiber Optic,No,No,No,No,Yes,Yes,0,Electronic Check,90.37,258.51,49.92,2,1,4.1,0
CUST000150,46,Male,0,0,0,10,One Year,1,Yes,Fiber Optic,No,Yes,No,Yes,No,No,1,Electronic Check,92.92,939.82,58.57,2,2,5.0,0
CUST000151,45,Female,0,1,1,49,Month-to-Month,1,No,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,0,Bank Transfer,30.1,1438.99,0.0,1,0,2.7,0
CUST000152,46,Female,0,1,0,72,Two Year,1,No,Fiber Optic,No,No,Yes,Yes,No,Yes,0,Mailed Check,96.9,6976.8,13.11,1,2,4.1,0
CUST000153,32,Female,0,1,0,4,Month-to-Month,1,No,Fiber Optic,Yes,No,Yes,Yes,Yes,No,1,Credit Card,86.87,381.11,21.7,0,1,4.9,0
CUST000154,45,Female,0,1,0,30,Month-to-Month,1,No,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,0,Bank Transfer,102.88,3088.88,18.75,0,1,3.0,0
CUST000155,46,Male,0,0,0,72,Two Year,1,No,Fiber Optic,No,Yes,No,No,Yes,Yes,1,Bank Transfer,81.97,5901.84,26.66,0,1,3.4,0
CUST000156,31,Female,0,0,0,68,Month-to-Month,1,Yes,DSL,No,Yes,No,No,No,Yes,0,Credit Card,76.2,5210.65,27.57,0,1,5.0,0
CUST000157,68,Female,1,1,0,14,Two Year,1,No,Fiber Optic,No,No,No,No,No,Yes,1,Mailed Check,68.06,946.74,8.8,0,1,4.0,0
