age,gender,senior_citizen,has_partner,has_dependents,tenure_months,contract_type,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,payment_method,monthly_charges,total_charges,data_usage_gb,num_tech_tickets,num_admin_tickets,satisfaction_score,num_services,avg_monthly_spend,charge_per_service,is_high_value,tenure_group,ticket_total,has_any_ticket,charge_x_tenure,low_satisfaction
34,Male,0,0,0,48,Two Year,1,Yes,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,0,Credit Card,37.41,1821.74,0.0,0,0,4.0,1,37.95291666666667,37.41,37.41,25-48 mo,0,0,1795.6799999999998,0
24,Female,0,1,1,47,Month-to-Month,1,No,Fiber Optic,Yes,Yes,No,No,No,No,1,Bank Transfer,73.27,3464.87,10.18,1,0,3.4,3,73.72063829787234,24.423333333333332,73.27,25-48 mo,1,1,3443.6899999999996,0
53,Female,0,1,0,72,One Year,1,Yes,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,1,Bank Transfer,34.42,2477.16,0.0,1,1,3.7,1,34.405,34.42,34.42,49+ mo,2,1,2478.2400000000002,0
53,Female,0,1,0,18,One Year,1,Yes,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,1,Mailed Check,47.09,863.76,0.0,1,2,2.5,1,47.986666666666665,47.09,47.09,13-24 mo,3,1,847.6200000000001,1
39,Female,0,1,1,28,Month-to-Month,1,No,DSL,Yes,No,No,No,No,No,1,Mailed Check,51.69,1459.81,10.72,4,1,3.6,2,52.13607142857143,25.845,51.69,25-48 mo,5,1,1447.32,0
54,Male,0,0,0,8,Month-to-Month,1,No,Fiber Optic,No,No,Yes,No,No,No,1,Mailed Check,85.22,695.88,18.34,0,2,3.5,2,86.985,42.61,85.22,0-12 mo,2,1,681.76,0
25,Female,0,0,0,17,Month-to-Month,1,No,DSL,Yes,No,No,No,No,No,0,Mailed Check,56.31,965.21,10.37,2,0,3.8,2,56.777058823529416,28.155,56.31,13-24 mo,2,1,957.27,0
61,Male,1,1,0,72,Month-to-Month,1,Yes,DSL,No,Yes,No,No,Yes,No,1,Mailed Check,67.08,4829.76,0.91,2,0,2.5,3,67.08,22.36,67.08,49+ mo,2,1,4829.76,1
45,Male,0,1,0,10,One Year,1,No,Fiber Optic,Yes,Yes,No,No,Yes,No,0,Bank Transfer,91.97,904.63,2.94,1,0,4.2,4,90.463,22.9925,91.97,0-12 mo,1,1,919.7,0
33,Male,0,1,1,31,Month-to-Month,1,Yes,DSL,No,No,No,Yes,No,No,1,Mailed Check,52.24,1606.51,49.71,0,1,3.6,2,51.82290322580645,26.12,52.24,25-48 mo,1,1,1619.44,0
44,Female,0,0,0,5,One Year,1,No,Fiber Optic,No,No,No,Yes,No,Yes,0,Electronic Check,80.15,440.65,11.85,1,2,2.8,3,88.13,26.71666666666667,80.15,0-12 mo,3,1,400.75,1
25,Female,0,0,0,47,One Year,1,No,Fiber Optic,No,No,No,Yes,No,No,1,Bank Transfer,69.67,3268.47,11.86,3,1,2.4,2,69.54191489361702,34.835,69.67,25-48 mo,4,1,3274.4900000000002,1
53,Male,0,0,0,25,Month-to-Month,1,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,1,Bank Transfer,119.53,3009.74,11.82,0,4,2.0,6,120.38959999999999,19.921666666666667,119.53,25-48 mo,4,1,2988.25,1
30,Female,0,1,1,55,One Year,1,No,Fiber Optic,No,Yes,No,Yes,No,No,0,Mailed Check,85.19,4708.98,4.38,0,3,2.3,3,85.61781818181818,28.396666666666665,85.19,49+ mo,3,1,4685.45,1
43,Female,0,1,1,49,Month-to-Month,1,No,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,1,Credit Card,28.68,1413.84,0.0,2,0,4.1,1,28.853877551020407,28.68,28.68,49+ mo,2,1,1405.32,0
46,Male,0,0,0,24,Month-to-Month,1,Yes,DSL,No,No,Yes,No,No,Yes,1,Electronic Check,65.42,1558.42,50.8,3,1,3.1,3,64.93416666666667,21.80666666666667,65.42,13-24 mo,4,1,1570.08,0
30,Male,0,1,0,4,Two Year,1,No,Fiber Optic,No,Yes,No,Yes,Yes,Yes,1,Bank Transfer,110.69,427.85,154.67,1,0,2.2,5,106.9625,22.137999999999998,110.69,0-12 mo,1,1,442.76,1
41,Male,0,1,1,28,Month-to-Month,0,No Phone,Fiber Optic,No,No,Yes,Yes,No,No,0,Bank Transfer,65.36,1818.28,47.99,2,0,3.8,2,64.93857142857142,32.68,65.36,25-48 mo,2,1,1830.08,0
45,Female,0,1,0,2,Month-to-Month,1,Yes,Fiber Optic,No,Yes,No,No,No,Yes,1,Credit Card,91.79,192.69,2.55,0,0,2.7,3,96.345,30.596666666666668,91.79,0-12 mo,0,0,183.58,1
23,Female,0,0,0,19,Two Year,1,Yes,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,0,Mailed Check,47.16,899.7,0.0,1,2,5.0,1,47.352631578947374,47.16,47.16,13-24 mo,3,1,896.04,0
46,Female,0,1,0,72,One Year,1,No,Fiber Optic,No,Yes,No,Yes,No,No,1,Credit Card,78.67,,116.69,3,0,2.2,3,,26.223333333333333,78.67,49+ mo,3,1,5664.24,1
47,Female,0,1,0,12,One Year,1,Yes,Fiber Optic,No,Yes,No,No,No,Yes,1,Credit Card,98.14,1146.06,1.3,2,0,3.7,3,95.505,32.71333333333333,98.14,0-12 mo,2,1,1177.68,0
49,Male,0,0,0,44,Month-to-Month,1,Yes,Fiber Optic,No,No,No,Yes,No,No,1,Credit Card,93.73,4115.62,176.48,2,1,4.8,2,93.53681818181818,46.865,93.73,25-48 mo,3,1,4124.12,0
37,Female,0,1,0,6,One Year,1,Yes,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,0,Electronic Check,29.74,179.21,0.0,2,2,5.0,1,29.868333333333336,29.74,29.74,0-12 mo,4,1,178.44,0
25,Male,0,0,0,72,One Year,1,No,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,0,Electronic Check,32.63,2349.36,0.0,2,2,2.2,1,32.63,32.63,32.63,49+ mo,4,1,2349.36,1
63,Male,1,1,1,1,Month-to-Month,1,No,DSL,Yes,No,Yes,No,No,No,1,Mailed Check,46.15,46.15,20.0,2,0,3.0,3,46.15,15.383333333333333,46.15,0-12 mo,2,1,46.15,0
65,Male,1,0,0,1,Two Year,1,No,Fiber Optic,Yes,Yes,No,No,Yes,No,0,Electronic Check,97.87,97.87,11.11,2,0,4.2,4,97.87,24.4675,97.87,0-12 mo,2,1,97.87,0
40,Male,0,0,0,38,Month-to-Month,1,No,DSL,No,No,Yes,No,No,No,1,Bank Transfer,48.04,1825.94,5.39,2,2,4.4,2,48.05105263157895,24.02,48.04,25-48 mo,4,1,1825.52,0
30,Male,0,1,1,19,Month-to-Month,1,Yes,Fiber Optic,No,No,Yes,Yes,No,No,0,Electronic Check,79.12,1476.41,19.43,3,0,1.9,3,77.70578947368422,26.373333333333335,79.12,13-24 mo,3,1,1503.2800000000002,1
65,Male,1,0,0,1,Two Year,1,No,Fiber Optic,No,No,No,Yes,No,No,1,Mailed Check,74.47,92.51,30.58,1,1,2.5,2,92.51,37.235,74.47,0-12 mo,2,1,74.47,1
58,Male,0,1,1,22,Month-to-Month,1,No,DSL,Yes,No,No,No,No,Yes,1,Electronic Check,65.99,1462.93,11.91,1,1,3.4,3,66.49681818181818,21.996666666666666,65.99,13-24 mo,2,1,1451.78,0
57,Male,0,1,0,11,Two Year,1,Yes,Fiber Optic,No,No,No,No,No,No,1,Electronic Check,75.8,819.61,14.4,0,4,4.0,1,74.51,75.8,75.8,0-12 mo,4,1,833.8,0
45,Female,0,0,0,11,Two Year,1,Yes,Fiber Optic,Yes,No,No,No,Yes,Yes,0,Electronic Check,94.93,1018.96,14.15,1,1,5.0,4,92.63272727272728,23.7325,94.93,0-12 mo,2,1,1044.23,0
41,Female,0,1,0,65,Month-to-Month,1,No,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,1,Electronic Check,26.2,1692.96,0.0,0,0,5.0,1,26.045538461538463,26.2,26.2,49+ mo,0,0,1703.0,0
37,Female,0,1,0,9,Two Year,1,No,Fiber Optic,Yes,Yes,No,No,Yes,Yes,0,Electronic Check,96.88,858.31,31.47,1,1,4.1,5,95.36777777777777,19.375999999999998,96.88,0-12 mo,2,1,871.92,0
46,Female,0,1,1,72,Month-to-Month,1,Yes,Fiber Optic,No,No,No,Yes,No,Yes,0,Electronic Check,100.08,7205.76,83.54,1,0,1.0,3,100.08,33.36,100.08,49+ mo,1,1,7205.76,1
36,Female,0,1,0,15,One Year,1,Yes,DSL,No,No,No,Yes,No,No,0,Bank Transfer,51.86,818.1,2.98,2,1,3.4,2,54.54,25.93,51.86,13-24 mo,3,1,777.9,0
36,Male,0,1,0,38,One Year,1,No,DSL,Yes,Yes,Yes,No,No,Yes,0,Credit Card,59.5,2283.21,55.6,1,1,4.5,5,60.08447368421053,11.9,59.5,25-48 mo,2,1,2261.0,0
54,Female,0,0,1,22,Month-to-Month,1,No,DSL,Yes,No,Yes,Yes,No,No,1,Electronic Check,59.42,1310.18,26.49,4,0,1.8,4,59.553636363636365,14.855,59.42,13-24 mo,4,1,1307.24,1
30,Female,0,1,0,72,Month-to-Month,1,No,DSL,No,No,No,No,Yes,No,1,Electronic Check,47.58,3422.42,10.89,2,1,3.2,2,47.533611111111114,23.79,47.58,49+ mo,3,1,3425.7599999999998,0
35,Female,0,1,1,34,Month-to-Month,1,No,Fiber Optic,No,No,No,Yes,Yes,No,0,Mailed Check,70.54,2429.71,13.27,0,0,2.2,3,71.46205882352942,23.513333333333335,70.54,25-48 mo,0,0,2398.36,1
35,Male,0,0,1,1,Month-to-Month,0,No Phone,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,0,Mailed Check,20.32,20.32,0.0,2,1,3.6,0,20.32,,20.32,0-12 mo,3,1,20.32,0
48,Female,0,1,0,22,One Year,1,No,Fiber Optic,No,No,No,No,No,No,1,Electronic Check,70.33,1539.06,12.15,4,1,2.2,1,69.95727272727272,70.33,70.33,13-24 mo,5,1,1547.26,1
23,Male,0,1,1,52,Month-to-Month,1,No,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,1,Electronic Check,33.11,1692.78,0.0,1,0,5.0,1,32.55346153846154,33.11,33.11,49+ mo,1,1,1721.72,0
28,Male,0,1,1,1,Month-to-Month,1,No,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,1,Bank Transfer,23.68,37.98,0.0,5,0,4.8,1,37.98,23.68,23.68,0-12 mo,5,1,23.68,0
35,Male,0,0,0,2,Two Year,0,No Phone,DSL,No,Yes,No,Yes,No,Yes,1,Electronic Check,56.5,101.72,10.32,0,1,1.9,3,50.86,18.833333333333332,56.5,0-12 mo,1,1,113.0,1
43,Female,0,0,0,33,Month-to-Month,1,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,1,Electronic Check,86.68,2870.34,17.97,2,3,2.0,4,86.98,21.67,86.68,25-48 mo,5,1,2860.44,1
54,Male,0,1,0,9,Month-to-Month,1,No,Fiber Optic,Yes,No,Yes,Yes,Yes,No,1,Credit Card,94.67,885.33,28.89,1,0,5.0,5,98.37,18.934,94.67,0-12 mo,1,1,852.03,0
35,Male,0,0,0,24,Month-to-Month,1,No,DSL,Yes,No,Yes,No,Yes,No,1,Mailed Check,67.14,1595.3,16.54,0,0,3.9,4,66.47083333333333,16.785,67.14,13-24 mo,0,0,1611.3600000000001,0
55,Female,0,1,1,3,One Year,1,No,Fiber Optic,Yes,Yes,Yes,No,Yes,No,0,Bank Transfer,88.32,247.0,30.69,1,1,2.9,5,82.33333333333333,17.663999999999998,88.32,0-12 mo,2,1,264.96,1
46,Female,0,0,0,11,Month-to-Month,1,Yes,DSL,No,No,No,Yes,Yes,Yes,1,Electronic Check,81.88,933.08,65.25,2,1,4.6,4,84.82545454545455,20.47,81.88,0-12 mo,3,1,900.68,0
61,Female,1,1,1,18,Month-to-Month,1,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,0,Electronic Check,95.8,1688.33,32.14,0,1,4.1,4,93.7961111111111,23.95,95.8,13-24 mo,1,1,1724.3999999999999,0
48,Female,0,0,0,61,Month-to-Month,1,No,DSL,No,No,Yes,No,Yes,No,1,Bank Transfer,65.83,4006.66,76.71,2,3,1.0,3,65.68295081967213,21.94333333333333,65.83,49+ mo,5,1,4015.63,1
25,Female,0,1,1,38,Two Year,1,Yes,DSL,No,Yes,Yes,No,No,Yes,1,Bank Transfer,64.81,2474.05,13.65,1,3,4.3,4,65.10657894736842,16.2025,64.81,25-48 mo,4,1,2462.78,0
51,Male,0,1,1,6,One Year,1,Yes,Fiber Optic,No,Yes,No,Yes,Yes,No,1,Mailed Check,96.76,576.32,22.41,1,0,3.6,4,96.05333333333334,24.19,96.76,0-12 mo,1,1,580.5600000000001,0
48,Female,0,0,0,14,Month-to-Month,1,Yes,Fiber Optic,No,No,No,No,No,No,0,Bank Transfer,65.11,913.07,15.73,2,1,3.1,1,65.21928571428572,65.11,65.11,13-24 mo,3,1,911.54,0
37,Male,0,1,1,3,Month-to-Month,1,No,Fiber Optic,No,No,No,No,No,No,0,Bank Transfer,73.11,222.52,11.78,1,0,2.1,1,74.17333333333333,73.11,73.11,0-12 mo,1,1,219.32999999999998,1
41,Female,0,1,1,49,One Year,0,No Phone,Fiber Optic,Yes,Yes,Yes,Yes,No,No,0,Bank Transfer,83.37,4105.62,1.25,3,0,1.8,4,83.78816326530612,20.8425,83.37,49+ mo,3,1,4085.13,1
51,Female,0,0,0,16,Month-to-Month,0,No Phone,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,0,Mailed Check,18.0,293.89,0.0,1,1,3.7,0,18.368125,,18.0,13-24 mo,2,1,288.0,0
30,Male,0,1,1,18,One Year,0,No Phone,DSL,Yes,No,No,Yes,No,No,1,Electronic Check,42.94,,20.38,0,0,2.7,2,,21.47,42.94,13-24 mo,0,0,772.92,1
35,Female,0,1,0,20,Month-to-Month,1,No,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,1,Credit Card,27.51,604.77,0.0,0,1,2.7,1,30.2385,27.51,27.51,13-24 mo,1,1,550.2,1
27,Male,0,1,1,70,Two Year,1,No,DSL,No,Yes,No,No,Yes,No,0,Credit Card,59.37,4172.42,15.11,1,0,2.4,3,59.606,19.79,59.37,49+ mo,1,1,4155.9,1
34,Female,0,1,0,38,One Year,1,No,Fiber Optic,No,No,No,No,No,No,1,Bank Transfer,69.89,2653.74,2.34,1,0,2.5,1,69.83526315789473,69.89,69.89,25-48 mo,1,1,2655.82,1
36,Female,0,0,0,1,One Year,1,No,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,0,Bank Transfer,23.63,23.63,0.0,1,2,2.9,1,23.63,23.63,23.63,0-12 mo,3,1,23.63,1
45,Male,0,1,1,22,Month-to-Month,1,Yes,DSL,No,No,No,Yes,No,Yes,0,Credit Card,61.39,1329.17,10.92,1,1,3.8,3,60.416818181818186,20.463333333333335,61.39,13-24 mo,2,1,1350.58,0
33,Female,0,0,0,27,Month-to-Month,1,No,Fiber Optic,No,No,No,No,No,Yes,1,Electronic Check,72.58,1939.77,58.77,1,1,1.0,2,71.84333333333333,36.29,72.58,25-48 mo,2,1,1959.6599999999999,1
41,Female,0,0,0,7,Month-to-Month,0,No Phone,Fiber Optic,Yes,No,No,No,No,No,1,Credit Card,70.47,521.99,0.65,0,1,1.1,1,74.57000000000001,70.47,70.47,0-12 mo,1,1,493.28999999999996,1
29,Female,0,0,1,53,Month-to-Month,1,No,Fiber Optic,No,Yes,No,No,No,No,0,Electronic Check,82.74,4387.64,17.11,0,0,3.3,2,82.7856603773585,41.37,82.74,49+ mo,0,0,4385.219999999999,0
53,Female,0,1,1,11,One Year,1,No,Fiber Optic,No,No,No,No,Yes,No,0,Credit Card,81.08,852.1,54.58,0,0,3.6,2,77.46363636363637,40.54,81.08,0-12 mo,0,0,891.88,0
51,Male,0,1,1,72,Month-to-Month,1,No,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,1,Bank Transfer,32.93,2370.96,0.0,0,2,5.0,1,32.93,32.93,32.93,49+ mo,2,1,2370.96,0
47,Female,0,1,0,36,One Year,1,Yes,Fiber Optic,No,No,No,Yes,Yes,No,1,Mailed Check,94.14,3412.18,54.87,0,1,2.8,3,94.78277777777777,31.38,94.14,25-48 mo,1,1,3389.04,1
74,Female,1,0,0,72,Two Year,1,No,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,0,Bank Transfer,25.82,1841.73,0.0,0,0,4.2,1,25.579583333333332,25.82,25.82,49+ mo,0,0,1859.04,0
37,Male,0,0,0,18,Month-to-Month,1,Yes,DSL,No,Yes,Yes,No,No,Yes,0,Electronic Check,71.25,1260.34,3.17,1,1,4.5,4,70.01888888888888,17.8125,71.25,13-24 mo,2,1,1282.5,0
36,Female,0,1,1,3,Two Year,1,Yes,DSL,Yes,No,No,Yes,No,No,1,Bank Transfer,68.13,216.49,30.53,1,0,2.5,3,72.16333333333334,22.709999999999997,68.13,0-12 mo,1,1,204.39,1
52,Female,0,1,0,1,Month-to-Month,1,No,DSL,No,No,Yes,No,Yes,No,1,Bank Transfer,63.19,63.19,24.22,2,1,4.6,3,63.19,21.063333333333333,63.19,0-12 mo,3,1,63.19,0
40,Female,0,1,0,40,One Year,1,No,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,0,Mailed Check,35.34,1449.83,0.0,1,1,3.4,1,36.24575,35.34,35.34,25-48 mo,2,1,1413.6000000000001,0
71,Female,1,1,0,72,Month-to-Month,1,No,DSL,No,No,No,No,No,Yes,0,Bank Transfer,55.24,3970.42,3.68,1,1,4.6,2,55.14472222222222,27.62,55.24,49+ mo,2,1,3977.28,0
53,Male,0,0,0,16,Month-to-Month,1,Yes,Fiber Optic,Yes,Yes,No,No,Yes,Yes,0,Credit Card,109.22,1724.46,0.5,0,3,3.6,5,107.77875,21.844,109.22,13-24 mo,3,1,1747.52,0
36,Female,0,0,0,6,Two Year,1,Yes,DSL,No,No,No,Yes,No,No,0,Electronic Check,59.97,365.28,1.18,1,0,4.0,2,60.879999999999995,29.985,59.97,0-12 mo,1,1,359.82,0
37,Female,0,0,0,22,Month-to-Month,1,No,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,1,Mailed Check,24.49,499.71,0.0,3,1,3.8,1,22.71409090909091,24.49,24.49,13-24 mo,4,1,538.78,0
54,Female,0,1,0,14,Two Year,0,No Phone,DSL,Yes,Yes,No,Yes,No,No,1,Electronic Check,61.26,876.32,4.82,0,1,1.9,3,62.59428571428572,20.419999999999998,61.26,13-24 mo,1,1,857.64,1
48,Female,0,0,0,65,Two Year,0,No Phone,DSL,Yes,No,Yes,Yes,No,No,0,Electronic Check,54.42,3531.83,1.15,3,0,4.0,3,54.335846153846155,18.14,54.42,49+ mo,3,1,3537.3,0
47,Male,0,0,0,6,Month-to-Month,1,No,Fiber Optic,No,No,No,No,Yes,No,0,Bank Transfer,73.73,471.17,43.19,0,0,4.9,2,78.52833333333334,36.865,73.73,0-12 mo,0,0,442.38,0
32,Female,0,0,0,15,One Year,1,No,DSL,No,No,No,No,No,Yes,1,Bank Transfer,58.3,928.86,5.02,1,1,4.9,2,61.924,29.15,58.3,13-24 mo,2,1,874.5,0
33,Female,0,1,0,2,Month-to-Month,1,Yes,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,1,Bank Transfer,42.01,42.01,0.0,1,4,4.0,1,21.005,42.01,42.01,0-12 mo,5,1,84.02,0
41,Male,0,0,1,66,Month-to-Month,1,Yes,DSL,No,Yes,No,No,No,No,0,Mailed Check,63.91,4206.02,61.06,3,1,5.0,2,63.727575757575764,31.955,63.91,49+ mo,4,1,4218.0599999999995,0
19,Male,0,1,0,7,Month-to-Month,1,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,1,Bank Transfer,109.02,767.44,8.57,2,2,3.9,5,109.63428571428572,21.804,109.02,0-12 mo,4,1,763.14,0
63,Female,1,1,1,26,Month-to-Month,1,Yes,DSL,No,No,No,No,No,Yes,1,Electronic Check,49.27,1274.0,4.54,0,1,3.8,2,49.0,24.635,49.27,25-48 mo,1,1,1281.02,0
46,Male,0,1,1,22,One Year,1,No,DSL,No,No,No,Yes,Yes,Yes,1,Electronic Check,59.43,1348.43,4.53,0,1,3.3,4,61.29227272727273,14.8575,59.43,13-24 mo,1,1,1307.46,0
42,Female,0,1,1,72,Month-to-Month,0,No Phone,Fiber Optic,No,No,Yes,No,No,Yes,1,Bank Transfer,66.13,4760.91,2.21,1,1,2.8,2,66.12375,33.065,66.13,49+ mo,2,1,4761.36,1
29,Male,0,0,0,7,Month-to-Month,1,No,Fiber Optic,No,No,Yes,No,No,Yes,1,Credit Card,83.86,564.85,10.98,3,2,3.0,3,80.69285714285715,27.953333333333333,83.86,0-12 mo,5,1,587.02,0
30,Female,0,1,0,3,Month-to-Month,1,Yes,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,0,Bank Transfer,39.51,130.68,0.0,1,1,4.5,1,43.56,39.51,39.51,0-12 mo,2,1,118.53,0
68,Female,1,0,0,40,Month-to-Month,1,No,Fiber Optic,No,Yes,No,Yes,Yes,No,0,Bank Transfer,92.36,3702.6,9.65,1,1,4.2,4,92.565,23.09,92.36,25-48 mo,2,1,3694.4,0
49,Female,0,0,0,1,Month-to-Month,1,No,Fiber Optic,Yes,Yes,No,Yes,No,No,0,Bank Transfer,76.68,76.82,15.62,1,0,2.8,4,76.82,19.17,76.68,0-12 mo,1,1,76.68,1
49,Female,0,1,0,6,Month-to-Month,1,Yes,Fiber Optic,Yes,No,No,No,Yes,No,0,Electronic Check,74.27,454.62,62.82,0,3,4.7,3,75.77,24.756666666666664,74.27,0-12 mo,3,1,445.62,0
29,Female,0,0,1,4,One Year,1,No,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,No Internet,1,Credit Card,37.98,141.44,0.0,0,1,5.0,1,35.36,37.98,37.98,0-12 mo,1,1,151.92,0
41,Female,0,1,1,37,One Year,1,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,1,Mailed Check,79.32,2963.88,2.93,0,0,4.1,6,80.10486486486487,13.219999999999999,79.32,25-48 mo,0,0,2934.8399999999997,0
28,Male,0,1,0,29,One Year,1,No,Fiber Optic,No,No,Yes,No,No,Yes,0,Electronic Check,66.1,1922.99,41.78,1,0,3.0,3,66.31,22.03333333333333,66.1,25-48 mo,1,1,1916.8999999999999,0
37,Female,0,0,0,1,Two Year,1,No,Fiber Optic,Yes,No,No,No,No,Yes,1,Mailed Check,80.47,101.36,0.5,4,0,3.0,3,101.36,26.823333333333334,80.47,0-12 mo,4,1,80.47,0
65,Male,1,0,0,6,One Year,1,No,DSL,Yes,Yes,No,No,Yes,Yes,1,Credit Card,72.54,427.16,22.1,0,1,3.3,5,71.19333333333334,14.508000000000001,72.54,0-12 mo,1,1,435.24,0
63,Male,1,0,0,16,Month-to-Month,1,No,DSL,No,No,No,No,Yes,No,0,Credit Card,57.16,914.58,1.43,4,1,4.1,2,57.16125,28.58,57.16,13-24 mo,5,1,914.56,0
63,Female,1,1,1,25,Month-to-Month,1,No,Fiber Optic,No,Yes,No,No,No,Yes,0,Credit Card,75.6,1883.0,12.85,1,1,3.8,3,75.32,25.2,75.6,25-48 mo,2,1,1889.9999999999998,0
43,Female,0,1,0,34,Month-to-Month,1,No,Fiber Optic,Yes,No,No,Yes,Yes,No,1,Mailed Check,95.98,3236.37,53.05,0,0,1.5,4,95.18735294117647,23.995,95.98,25-48 mo,0,0,3263.32,1
30,Female,0,0,0,72,Two Year,1,No,DSL,Yes,No,Yes,Yes,No,Yes,0,Mailed Check,69.55,5007.599999999999,7.61,0,1,,5,69.55,13.91,69.55,49+ mo,1,1,5007.599999999999,0
43,Female,0,1,1,27,Month-to-Month,1,No,DSL,Yes,No,Yes,No,Yes,Yes,0,Bank Transfer,77.4,2098.52,13.86,2,1,3.1,5,77.72296296296297,15.48,77.4,25-48 mo,3,1,2089.8,0
32,Male,0,1,0,11,Month-to-Month,1,No,Fiber Optic,No,No,No,No,Yes,Yes,0,Mailed Check,71.89,773.8,32.39,2,1,4.9,3,70.34545454545454,23.963333333333335,71.89,0-12 mo,3,1,790.79,0
25,Female,0,0,0,6,Two Year,1,No,DSL,No,No,No,Yes,No,No,1,Mailed Check,54.83,324.24,6.6,1,0,3.2,2,54.04,27.415,54.83,0-12 mo,1,1,328.98,0
51,Male,0,0,0,10,Month-to-Month,1,No,Fiber Optic,No,No,Yes,Yes,No,Yes,1,Mailed Check,90.22,926.03,6.9,0,0,3.2,4,92.603,22.555,90.22,0-12 mo,0,0,902.2,0
